"EventID","ActionID","SoundID","SourceID","WEM","StreamType","SizeBytes","SizeKB","Codec","SampleRate","Channels","Streams","DurationSec","Looping","VgmstreamExit"
"1881668234","707058839","289373360","157056275","157056275.wem","2","15023","14,67","","","","","54432","","0"
"3079820893","404774770","804684178","157528075","157528075.wem","1","35409","34,58","","","","","103869","","0"
"2281543036","412906360","518173738","157581541","157581541.wem","1","16046","15,67","","","","","50677","","0"
"1601078373","895019799","131761106","158413004","158413004.wem","1","11836","11,56","","","","","42495","","0"
"4251383320","596480535","898767914","159781536","159781536.wem","1","14128","13,8","","","","","49333","","0"
"38922982","120298763","755606733","159921588","159921588.wem","2","11611","11,34","","","","","30964","","0"
"2790755596","954028334","776675658","161300527","161300527.wem","1","21098","20,6","","","","","78889","","0"
"82386634","277069325","594313523","162031974","162031974.wem","1","29412","28,72","","","","","109900","","0"
"496774474","740625598","245719918","162530994","162530994.wem","1","34850","34,03","","","","","132863","","0"
"992571404","580202707","18983951","162811341","162811341.wem","1","33472","32,69","","","","","112433","","0"
"2407371457","183150142","891988437","163370250","163370250.wem","1","17833","17,42","","","","","55894","","0"
"2146288964","737701782","1022786016","164557132","164557132.wem","1","52413","51,18","","","","","195455","","0"
"3361011483","10653340","997840992","165923554","165923554.wem","1","9159","8,94","","","","","33843","","0"
"1131517247","133049835","176181447","166581581","166581581.wem","1","30102","29,4","","","","","113940","","0"
"3242356929","94611735","786932822","167560200","167560200.wem","1","28366","27,7","","","","","110378","","0"
"1402918832","298596891","690193247","167945959","167945959.wem","1","15338","14,98","","","","","53183","","0"
"2835669845","444117764","933649772","168165222","168165222.wem","1","25832","25,23","","","","","86671","","0"
"2580604493","289027545","481013096","169992522","169992522.wem","1","48001","46,88","","","","","164181","","0"
"3700075934","727846445","356083530","170699724","170699724.wem","1","288731","281,96","","","","","922364","","0"
"1802874610","764500767","374593863","170803105","170803105.wem","1","31091","30,36","","","","","113755","","0"
"64470697","594959497","402319831","174011257","174011257.wem","1","10578","10,33","","","","","36761","","0"
"2476246378","280642798","648285456","174921470","174921470.wem","1","58071","56,71","","","","","192619","","0"
"1477902024","948709598","173918181","175393690","175393690.wem","1","29796","29,1","","","","","94430","","0"
"4152934995","288504288","302873959","175489343","175489343.wem","1","43016","42,01","","","","","151607","","0"
"976714314","892735653","322786594","176239191","176239191.wem","1","29067","28,39","","","","","95392","","0"
"2272354181","1054670987","326090636","176314973","176314973.wem","1","41111","40,15","","","","","150311","","0"
"1188555628","849137564","203574859","179329367","179329367.wem","1","69994","68,35","","","","","231839","","0"
"169273295","346206699","432798228","181324910","181324910.wem","1","30273","29,56","","","","","110821","","0"
"4090597759","1057776980","702690522","181934843","181934843.wem","1","49311","48,16","","","","","183505","","0"
"3936178944","691107479","1024620183","181960664","181960664.wem","1","116735","114","","","","","440587","","0"
"2981546119","954524131","606764739","182563901","182563901.wem","1","31880","31,13","","","","","122274","","0"
"3412165023","60078409","471245591","182704058","182704058.wem","1","16663","16,27","","","","","63326","","0"
"2917685879","877125197","553575192","182815024","182815024.wem","1","20177","19,7","","","","","62286","","0"
"3053274528","397028150","981927778","183169828","183169828.wem","1","28818","28,14","","","","","103594","","0"
"4091220511","352045557","983828701","184262414","184262414.wem","1","45174","44,12","","","","","163669","","0"
"1198737572","365629827","597156993","184517543","184517543.wem","1","10543","10,3","","","","","41642","","0"
"2880264342","226295830","329959198","184647666","184647666.wem","1","23780","23,22","","","","","81439","","0"
"2043040516","481413392","559388924","185096493","185096493.wem","2","209897","204,98","","","","","855190","","0"
"999914252","104386796","645383988","185250707","185250707.wem","1","14027","13,7","","","","","50517","","0"
"1126614114","1040170917","942563278","185799516","185799516.wem","1","41884","40,9","","","","","155096","","0"
"1944694042","1001942698","646841222","186070293","186070293.wem","1","25019","24,43","","","","","92543","","0"
"3724663601","61281214","147162150","187117794","187117794.wem","1","51982","50,76","","","","","194507","","0"
"3267913919","64937679","209026346","187578096","187578096.wem","1","46241","45,16","","","","","183918","","0"
"2020365498","240288780","469538621","187877902","187877902.wem","1","23061","22,52","","","","","95999","","0"
"3311955968","680752309","658297895","191772834","191772834.wem","1","32590","31,83","","","","","115221","","0"
"2658140653","312663576","952119059","192113431","192113431.wem","1","44245","43,21","","","","","156437","","0"
