"EventID","ActionID","SoundID","SourceID","WEM","StreamType","SizeKB","DurationSec","BitrateKbps","Encoding","SampleRate","Channels","Bucket"
"2627370258","64157754","765662550","253463471","253463471.wem","1","45,5","5,781","64","Custom Vorbis","32000 Hz","1","05-10s"
"2636156710","544445428","638224067","564551233","564551233.wem","1","8,1","0,827","79","Custom Vorbis","32000 Hz","1","00-01s"
"2640616180","687677002","486790754","631551399","631551399.wem","1","62,19","8,403","60","Custom Vorbis","32000 Hz","1","05-10s"
"2642473142","759900453","243971661","676072795","676072795.wem","1","18,68","2,314","65","Custom Vorbis","32000 Hz","1","02-03s"
"2644114177","904808310","343124650","49679125","49679125.wem","1","43,49","6,051","58","Custom Vorbis","32000 Hz","1","05-10s"
"2649265093","167917597","871319121","929989629","929989629.wem","1","9,07","1,061","69","Custom Vorbis","32000 Hz","1","01-02s"
"2652657254","256541576","131367935","34453711","34453711.wem","1","17,96","1,952","74","Custom Vorbis","32000 Hz","1","01-02s"
"2658140653","312663576","952119059","192113431","192113431.wem","1","43,21","4,889","72","Custom Vorbis","32000 Hz","1","03-05s"
"2661400488","660685501","629940060","470716356","470716356.wem","1","24,65","3,439","58","Custom Vorbis","32000 Hz","1","03-05s"
"2661574759","955378424","531718375","854370586","854370586.wem","1","29,27","3,553","67","Custom Vorbis","32000 Hz","1","03-05s"
"2662259499","479884815","124356807","1051914724","1051914724.wem","1","32,16","3,784","69","Custom Vorbis","32000 Hz","1","03-05s"
