"Index","Batch","WEM","SourcePath","WAV","EventID","ActionID","SoundID","SourceID","StreamType","DurationSec","BitrateKbps","Encoding","SampleRate","Channels","Bucket","Status"
"885","Batch_009","192194498.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\192194498.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0885_192194498.wav","459810690","1037732648","428424277","192194498","1","5,083","65","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"886","Batch_009","243616231.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\243616231.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0886_243616231.wav","264492210","948614272","113777530","243616231","1","5,108","76","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"887","Batch_009","184262414.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\184262414.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0887_184262414.wav","4091220511","352045557","983828701","184262414","1","5,115","70","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"888","Batch_009","478782204.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\478782204.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0888_478782204.wav","1395982077","793160162","750376927","478782204","1","5,118","72","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"889","Batch_009","410655110.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\410655110.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0889_410655110.wav","1015092084","675543373","744084639","410655110","1","5,121","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"890","Batch_009","169992522.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\169992522.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0890_169992522.wav","2580604493","289027545","481013096","169992522","1","5,131","74","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"891","Batch_009","212234175.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\212234175.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0891_212234175.wav","1504815003","25101986","366616315","212234175","1","5,157","58","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"892","Batch_009","760776751.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\760776751.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0892_760776751.wav","1168415400","160586201","740703839","760776751","1","5,165","70","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"893","Batch_009","742914976.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\742914976.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0893_742914976.wav","2525512531","642971320","366670215","742914976","1","5,2","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"894","Batch_009","779318320.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\779318320.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0894_779318320.wav","3829729102","113500154","325472263","779318320","1","5,211","65","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"895","Batch_009","739343470.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\739343470.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0895_739343470.wav","1134099512","728299103","503277845","739343470","1","5,224","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"896","Batch_009","137581498.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\137581498.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0896_137581498.wav","718132085","398703830","411771121","137581498","1","5,227","67","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"897","Batch_009","511045932.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\511045932.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0897_511045932.wav","1312168736","395795933","701034815","511045932","1","5,241","67","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"898","Batch_009","326337733.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\326337733.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0898_326337733.wav","1253117252","977360908","101371365","326337733","1","5,245","67","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"899","Batch_009","529627824.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\529627824.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0899_529627824.wav","2664776366","1063831631","28335878","529627824","1","5,246","67","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"900","Batch_009","103162336.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\103162336.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0900_103162336.wav","2620796913","864881930","543057014","103162336","1","5,261","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"901","Batch_010","735720766.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\735720766.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0901_735720766.wav","3753047800","662890105","690767395","735720766","1","5,267","75","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"902","Batch_010","846917398.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\846917398.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0902_846917398.wav","1344103095","576496048","960943702","846917398","2","5,267","55","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"903","Batch_010","50572807.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\50572807.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0903_50572807.wav","4039136822","417031377","841810925","50572807","1","5,295","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"904","Batch_010","916594557.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\916594557.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0904_916594557.wav","3087475729","973577341","500794153","916594557","1","5,296","69","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"905","Batch_010","219835625.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\219835625.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0905_219835625.wav","291141652","571944126","860983115","219835625","1","5,32","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"906","Batch_010","1018412350.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\1018412350.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0906_1018412350.wav","1390311530","738812322","319887933","1018412350","1","5,33","72","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"907","Batch_010","366957376.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\366957376.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0907_366957376.wav","3569155239","961165312","233041791","366957376","1","5,332","67","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"908","Batch_010","86754495.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\86754495.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0908_86754495.wav","3101685905","653965402","777605706","86754495","1","5,347","71","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"909","Batch_010","433222527.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\433222527.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0909_433222527.wav","985175208","359260679","276726676","433222527","1","5,347","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"910","Batch_010","449583122.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\449583122.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0910_449583122.wav","3550161132","277899670","740693975","449583122","1","5,348","69","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"911","Batch_010","2575341.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\2575341.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0911_2575341.wav","1449448340","263856076","1036449577","2575341","1","5,349","66","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"912","Batch_010","92198627.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\92198627.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0912_92198627.wav","4182485301","486493815","542662749","92198627","1","5,372","74","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"913","Batch_010","473254968.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\473254968.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0913_473254968.wav","538553527","958893593","340289213","473254968","1","5,384","70","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"914","Batch_010","777512750.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\777512750.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0914_777512750.wav","1273019539","278999721","202487759","777512750","1","5,4","71","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"915","Batch_010","107137317.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\107137317.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0915_107137317.wav","2225380438","748666220","911474382","107137317","1","5,411","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"916","Batch_010","486401047.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\486401047.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0916_486401047.wav","4185062212","259592355","317464616","486401047","1","5,413","67","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"917","Batch_010","800696960.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\800696960.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0917_800696960.wav","808574123","629352567","1051400346","800696960","1","5,413","69","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"918","Batch_010","930831490.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\930831490.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0918_930831490.wav","1902089781","844605453","360822654","930831490","1","5,438","66","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"919","Batch_010","969023310.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\969023310.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0919_969023310.wav","2876192162","333340310","684649077","969023310","2","5,439","61","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"920","Batch_010","405488693.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\405488693.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0920_405488693.wav","3476673361","883554388","25112106","405488693","1","5,442","66","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"921","Batch_010","295484415.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\295484415.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0921_295484415.wav","4132081626","805882330","82706509","295484415","1","5,448","68","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
"922","Batch_010","757009109.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\757009109.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_010\0922_757009109.wav","842795069","823387283","996552317","757009109","1","5,454","67","Custom Vorbis","32000 Hz","1","05-10s","CONVERTED"
