"Index","Batch","WEM","Audio","EventID","ActionID","SoundID","SourceID","DurationSec","Category","Character","OriginalTranscript","PTBR","Notes","Status"
"174","Batch_002","332168452.wem","Batch_002/0174_332168452.wav","428771288","62223399","431125421","332168452","1,389","FALA","","","","","PENDING"
"175","Batch_002","284086785.wem","Batch_002/0175_284086785.wav","1426861212","505799495","764403018","284086785","1,391","FALA","","","","","PENDING"
"176","Batch_002","227431214.wem","Batch_002/0176_227431214.wav","721567578","1002138588","209336428","227431214","1,392","FALA","","","","","PENDING"
"177","Batch_002","583111496.wem","Batch_002/0177_583111496.wav","737463583","178740520","600570182","583111496","1,392","FALA","","","","","PENDING"
"178","Batch_002","701213895.wem","Batch_002/0178_701213895.wav","837529575","485369732","826275070","701213895","1,392","FALA","","","","","PENDING"
"179","Batch_002","264889363.wem","Batch_002/0179_264889363.wav","3513521233","1037899952","55143284","264889363","1,399","FALA","","","","","PENDING"
"180","Batch_002","139313318.wem","Batch_002/0180_139313318.wav","56395845","438149503","406602012","139313318","1,403","FALA","","","","","PENDING"
"181","Batch_002","317399096.wem","Batch_002/0181_317399096.wav","2342766750","295772386","568474308","317399096","1,407","FALA","","","","","PENDING"
"182","Batch_002","1018719994.wem","Batch_002/0182_1018719994.wav","3777410797","85098204","877020574","1018719994","1,412","FALA","","","","","PENDING"
"183","Batch_002","635449659.wem","Batch_002/0183_635449659.wav","3020580112","249493294","398940593","635449659","1,416","FALA","","","","","PENDING"
"184","Batch_002","568173431.wem","Batch_002/0184_568173431.wav","3970474506","854999758","631835536","568173431","1,421","FALA","","","","","PENDING"
"185","Batch_002","31944517.wem","Batch_002/0185_31944517.wav","2108699618","831490196","937276189","31944517","1,437","FALA","","","","","PENDING"
"186","Batch_002","272253548.wem","Batch_002/0186_272253548.wav","959936727","182873655","133404495","272253548","1,438","FALA","","","","","PENDING"
"187","Batch_002","1042630073.wem","Batch_002/0187_1042630073.wav","30829860","1038272151","1070363325","1042630073","1,439","GRITO","","","","","PENDING"
"188","Batch_002","465962432.wem","Batch_002/0188_465962432.wav","1506958271","1064049449","330774367","465962432","1,44","FALA","","","","","PENDING"
"189","Batch_002","441636163.wem","Batch_002/0189_441636163.wav","412114493","161013131","150813176","441636163","1,441","FALA","","","","","PENDING"
"190","Batch_002","208695542.wem","Batch_002/0190_208695542.wav","3279244510","138703191","845948462","208695542","1,443","FALA","","","","","PENDING"
"191","Batch_002","898503064.wem","Batch_002/0191_898503064.wav","698539982","310126389","757938650","898503064","1,448","FALA","","","","","PENDING"
"192","Batch_002","145401243.wem","Batch_002/0192_145401243.wav","1917077711","993476896","310592170","145401243","1,451","FALA","","","","","PENDING"
"193","Batch_002","560660796.wem","Batch_002/0193_560660796.wav","2319939863","373001820","1029609207","560660796","1,456","FALA","","","","","PENDING"
"194","Batch_002","798490929.wem","Batch_002/0194_798490929.wav","1475671394","1072472205","1055461642","798490929","1,461","GRITO","","","","","PENDING"
"195","Batch_002","105106109.wem","Batch_002/0195_105106109.wav","3393122011","876453350","870012059","105106109","1,463","FALA","","","","","PENDING"
"196","Batch_002","731303406.wem","Batch_002/0196_731303406.wav","1266889977","140937819","132908039","731303406","1,463","GRITO","","","","","PENDING"
"197","Batch_002","410333338.wem","Batch_002/0197_410333338.wav","973348405","249034661","989937905","410333338","1,465","FALA","","","","","PENDING"
"198","Batch_002","765967550.wem","Batch_002/0198_765967550.wav","2949996389","704635580","400841042","765967550","1,467","FALA","","","","","PENDING"
"199","Batch_002","867596762.wem","Batch_002/0199_867596762.wav","2764976541","1060556026","980836785","867596762","1,475","FALA","","","","","PENDING"
"200","Batch_002","534780668.wem","Batch_002/0200_534780668.wav","934411688","203041246","308496167","534780668","1,476","FALA","","","","","PENDING"
"201","Batch_003","1002356841.wem","Batch_003/0201_1002356841.wav","1422005274","478655467","490656433","1002356841","1,483","FALA","","","","","PENDING"
"202","Batch_003","857517261.wem","Batch_003/0202_857517261.wav","3506748687","825136468","542135117","857517261","1,484","FALA","","","","","PENDING"
