"Index","WEM","Type","Character","Context","Status","OriginalText","PTBRText","Notes"
"310","770219451.wem","VOICE","","","PENDING","","",""
"311","358279764.wem","VOICE","","","PENDING","","",""
"312","1009114422.wem","VOICE","","","PENDING","","",""
"313","330995421.wem","VOICE","","","PENDING","","",""
"314","486413675.wem","VOICE","","","PENDING","","",""
"315","556780192.wem","VOICE","","","PENDING","","",""
"316","836114481.wem","VOICE","","","PENDING","","",""
"317","653461993.wem","VOICE","","","PENDING","","",""
"318","65544374.wem","VOICE","","","PENDING","","",""
"319","623153603.wem","VOICE","","","PENDING","","",""
"320","632520951.wem","VOICE","","","PENDING","","",""
"321","815062021.wem","VOICE","","","PENDING","","",""
"322","11950871.wem","VOICE","","","PENDING","","",""
"323","722311450.wem","VOICE","","","PENDING","","",""
"324","887694664.wem","VOICE","","","PENDING","","",""
"325","871207888.wem","VOICE","","","PENDING","","",""
"326","877143853.wem","VOICE","","","PENDING","","",""
"327","876561326.wem","VOICE","","","PENDING","","",""
"328","691097811.wem","VOICE","","","PENDING","","",""
"329","1013619871.wem","VOICE","","","PENDING","","",""
"330","271969660.wem","VOICE","","","PENDING","","",""
"331","1046561200.wem","VOICE","","","PENDING","","",""
"332","493162889.wem","VOICE","","","PENDING","","",""
"333","75298720.wem","VOICE","","","PENDING","","",""
"334","788630374.wem","VOICE","","","PENDING","","",""
"335","467069342.wem","VOICE","","","PENDING","","",""
"336","963567431.wem","VOICE","","","PENDING","","",""
"337","206319454.wem","VOICE","","","PENDING","","",""
"338","577440984.wem","VOICE","","","PENDING","","",""
"339","766329512.wem","VOICE","","","PENDING","","",""
"340","508418172.wem","VOICE","","","PENDING","","",""
"341","867267413.wem","VOICE","","","PENDING","","",""
"342","182815024.wem","VOICE","","","PENDING","","",""
"343","781907701.wem","VOICE","","","PENDING","","",""
"344","34453711.wem","VOICE","","","PENDING","","",""
"345","90880483.wem","VOICE","","","PENDING","","",""
"346","789342652.wem","VOICE","","","PENDING","","",""
"347","30052689.wem","VOICE","","","PENDING","","",""
"348","151932880.wem","VOICE","","","PENDING","","",""
"349","433983910.wem","VOICE","","","PENDING","","",""
"350","597905619.wem","VOICE","","","PENDING","","",""
"351","514246346.wem","VOICE","","","PENDING","","",""
"352","829944393.wem","VOICE","","","PENDING","","",""
"353","182704058.wem","VOICE","","","PENDING","","",""
"354","194330409.wem","VOICE","","","PENDING","","",""
"355","572354245.wem","VOICE","","","PENDING","","",""
"356","1069557766.wem","VOICE","","","PENDING","","",""
"357","211532930.wem","VOICE","","","PENDING","","",""
"358","866425644.wem","VOICE","","","PENDING","","",""
"359","300465557.wem","VOICE","","","PENDING","","",""
"360","990261344.wem","VOICE","","","PENDING","","",""
"361","67891682.wem","VOICE","","","PENDING","","",""
"362","117772031.wem","VOICE","","","PENDING","","",""
"363","35991868.wem","VOICE","","","PENDING","","",""
"364","772188202.wem","VOICE","","","PENDING","","",""
"365","1050544152.wem","VOICE","","","PENDING","","",""
"366","301847788.wem","VOICE","","","PENDING","","",""
"367","766877046.wem","VOICE","","","PENDING","","",""
"368","117726891.wem","VOICE","","","PENDING","","",""
"369","296620762.wem","VOICE","","","PENDING","","",""
"370","917369937.wem","VOICE","","","PENDING","","",""
"371","589745889.wem","VOICE","","","PENDING","","",""
"372","802166597.wem","VOICE","","","PENDING","","",""
"373","1019777163.wem","VOICE","","","PENDING","","",""
"374","892470400.wem","VOICE","","","PENDING","","",""
"375","144853272.wem","VOICE","","","PENDING","","",""
"376","633207798.wem","VOICE","","","PENDING","","",""
"377","884690055.wem","VOICE","","","PENDING","","",""
"378","1039444031.wem","VOICE","","","PENDING","","",""
"379","233018484.wem","VOICE","","","PENDING","","",""
"380","781960931.wem","VOICE","","","PENDING","","",""
"381","744639936.wem","VOICE","","","PENDING","","",""
"382","352352022.wem","VOICE","","","PENDING","","",""
"383","886608002.wem","VOICE","","","PENDING","","",""
"384","27039803.wem","VOICE","","","PENDING","","",""
"385","941899465.wem","VOICE","","","PENDING","","",""
"386","342371862.wem","VOICE","","","PENDING","","",""
"387","148307580.wem","VOICE","","","PENDING","","",""
"388","919924785.wem","VOICE","","","PENDING","","",""
"389","122220929.wem","VOICE","","","PENDING","","",""
"390","790152374.wem","VOICE","","","PENDING","","",""
"391","531151495.wem","VOICE","","","PENDING","","",""
"392","529421949.wem","VOICE","","","PENDING","","",""
"393","743117923.wem","VOICE","","","PENDING","","",""
"394","438170191.wem","VOICE","","","PENDING","","",""
"395","1007923018.wem","VOICE","","","PENDING","","",""
"396","579883385.wem","VOICE","","","PENDING","","",""
"397","1012272758.wem","VOICE","","","PENDING","","",""
"398","458898376.wem","VOICE","","","PENDING","","",""
"399","724830889.wem","VOICE","","","PENDING","","",""
"400","140753050.wem","VOICE","","","PENDING","","",""
"401","202756120.wem","VOICE","","","PENDING","","",""
"402","4880661.wem","VOICE","","","PENDING","","",""
"403","618494245.wem","VOICE","","","PENDING","","",""
"404","430911117.wem","VOICE","","","PENDING","","",""
"405","123995673.wem","VOICE","","","PENDING","","",""
"406","75859786.wem","VOICE","","","PENDING","","",""
"407","776520249.wem","VOICE","","","PENDING","","",""
"408","558462656.wem","VOICE","","","PENDING","","",""
"409","201897175.wem","VOICE","","","PENDING","","",""
"410","105622278.wem","VOICE","","","PENDING","","",""
"411","336600463.wem","VOICE","","","PENDING","","",""
"412","444357559.wem","VOICE","","","PENDING","","",""
"413","529146015.wem","VOICE","","","PENDING","","",""
"414","376568401.wem","VOICE","","","PENDING","","",""
"415","536489072.wem","VOICE","","","PENDING","","",""
"416","16413068.wem","VOICE","","","PENDING","","",""
"417","336164338.wem","VOICE","","","PENDING","","",""
"418","724317941.wem","VOICE","","","PENDING","","",""
"419","661524582.wem","VOICE","","","PENDING","","",""
"420","676072795.wem","VOICE","","","PENDING","","",""
"421","1068184009.wem","VOICE","","","PENDING","","",""
"422","72599138.wem","VOICE","","","PENDING","","",""
"423","31296218.wem","VOICE","","","PENDING","","",""
"424","1042118390.wem","VOICE","","","PENDING","","",""
"425","688599799.wem","VOICE","","","PENDING","","",""
"426","359231875.wem","VOICE","","","PENDING","","",""
"427","964945468.wem","VOICE","","","PENDING","","",""
"428","1016239674.wem","VOICE","","","PENDING","","",""
"429","606607172.wem","VOICE","","","PENDING","","",""
"430","51534216.wem","VOICE","","","PENDING","","",""
"431","1064404150.wem","VOICE","","","PENDING","","",""
"432","244321865.wem","VOICE","","","PENDING","","",""
"433","579137320.wem","VOICE","","","PENDING","","",""
"434","344561946.wem","VOICE","","","PENDING","","",""
"435","80944288.wem","VOICE","","","PENDING","","",""
"436","753076740.wem","VOICE","","","PENDING","","",""
"437","128616695.wem","VOICE","","","PENDING","","",""
"438","715683777.wem","VOICE","","","PENDING","","",""
"439","511031568.wem","VOICE","","","PENDING","","",""
"440","540348542.wem","VOICE","","","PENDING","","",""
"441","24774449.wem","VOICE","","","PENDING","","",""
"442","354668928.wem","VOICE","","","PENDING","","",""
"443","516151388.wem","VOICE","","","PENDING","","",""
"444","230796911.wem","VOICE","","","PENDING","","",""
"445","979626938.wem","VOICE","","","PENDING","","",""
"446","253103376.wem","VOICE","","","PENDING","","",""
"447","197543547.wem","VOICE","","","PENDING","","",""
"448","864723965.wem","VOICE","","","PENDING","","",""
"449","528120439.wem","VOICE","","","PENDING","","",""
"450","149097461.wem","VOICE","","","PENDING","","",""
"451","578909285.wem","VOICE","","","PENDING","","",""
"452","387708242.wem","VOICE","","","PENDING","","",""
"453","958740332.wem","VOICE","","","PENDING","","",""
"454","983217710.wem","VOICE","","","PENDING","","",""
"455","161300527.wem","VOICE","","","PENDING","","",""
"456","224466364.wem","VOICE","","","PENDING","","",""
"457","344949174.wem","VOICE","","","PENDING","","",""
"458","1071813657.wem","VOICE","","","PENDING","","",""
"459","1004466769.wem","VOICE","","","PENDING","","",""
"460","919355035.wem","VOICE","","","PENDING","","",""
"461","495764015.wem","VOICE","","","PENDING","","",""
"462","199511651.wem","VOICE","","","PENDING","","",""
"463","841131934.wem","VOICE","","","PENDING","","",""
"464","470175939.wem","VOICE","","","PENDING","","",""
"465","939132931.wem","VOICE","","","PENDING","","",""
"466","374069543.wem","VOICE","","","PENDING","","",""
"467","670881469.wem","VOICE","","","PENDING","","",""
"468","428355477.wem","VOICE","","","PENDING","","",""
"469","494989785.wem","VOICE","","","PENDING","","",""
"470","192763684.wem","VOICE","","","PENDING","","",""
"471","796883833.wem","VOICE","","","PENDING","","",""
"472","843549300.wem","VOICE","","","PENDING","","",""
"473","184647666.wem","VOICE","","","PENDING","","",""
"474","833910343.wem","VOICE","","","PENDING","","",""
"475","120459133.wem","VOICE","","","PENDING","","",""
"476","201433572.wem","VOICE","","","PENDING","","",""
"477","509150225.wem","VOICE","","","PENDING","","",""
"478","979544947.wem","VOICE","","","PENDING","","",""
"479","466008262.wem","VOICE","","","PENDING","","",""
"480","622342419.wem","VOICE","","","PENDING","","",""
"481","742386258.wem","VOICE","","","PENDING","","",""
"482","196366528.wem","VOICE","","","PENDING","","",""
"483","15806715.wem","VOICE","","","PENDING","","",""
"484","882396025.wem","VOICE","","","PENDING","","",""
"485","916018735.wem","VOICE","","","PENDING","","",""
"486","740908996.wem","VOICE","","","PENDING","","",""
"487","1052971964.wem","VOICE","","","PENDING","","",""
"488","62506718.wem","VOICE","","","PENDING","","",""
"489","417658502.wem","VOICE","","","PENDING","","",""
"490","583113460.wem","VOICE","","","PENDING","","",""
"491","695226232.wem","VOICE","","","PENDING","","",""
"492","289770978.wem","VOICE","","","PENDING","","",""
"493","508042368.wem","VOICE","","","PENDING","","",""
"494","327111786.wem","VOICE","","","PENDING","","",""
"495","1050074967.wem","VOICE","","","PENDING","","",""
"496","812339299.wem","VOICE","","","PENDING","","",""
"497","878999912.wem","VOICE","","","PENDING","","",""
"498","898001860.wem","VOICE","","","PENDING","","",""
"499","403731769.wem","VOICE","","","PENDING","","",""
"500","38372339.wem","VOICE","","","PENDING","","",""
"501","168165222.wem","VOICE","","","PENDING","","",""
"502","366751104.wem","VOICE","","","PENDING","","",""
"503","936295321.wem","VOICE","","","PENDING","","",""
"504","125264452.wem","VOICE","","","PENDING","","",""
"505","975698895.wem","VOICE","","","PENDING","","",""
"506","667534222.wem","VOICE","","","PENDING","","",""
"507","968419079.wem","VOICE","","","PENDING","","",""
"508","18029859.wem","VOICE","","","PENDING","","",""
"509","240912965.wem","VOICE","","","PENDING","","",""
"510","952069668.wem","VOICE","","","PENDING","","",""
"511","1007862950.wem","VOICE","","","PENDING","","",""
"512","895007152.wem","VOICE","","","PENDING","","",""
"513","1011669277.wem","VOICE","","","PENDING","","",""
"514","792588876.wem","VOICE","","","PENDING","","",""
"515","411497555.wem","VOICE","","","PENDING","","",""
"516","23618156.wem","VOICE","","","PENDING","","",""
"517","625985248.wem","VOICE","","","PENDING","","",""
"518","448827065.wem","VOICE","","","PENDING","","",""
"519","619268756.wem","VOICE","","","PENDING","","",""
"520","846965701.wem","VOICE","","","PENDING","","",""
"521","453883104.wem","VOICE","","","PENDING","","",""
"522","488360730.wem","VOICE","","","PENDING","","",""
"523","669126361.wem","VOICE","","","PENDING","","",""
"524","880656504.wem","VOICE","","","PENDING","","",""
"525","758290971.wem","VOICE","","","PENDING","","",""
"526","262650098.wem","VOICE","","","PENDING","","",""
"527","738409400.wem","VOICE","","","PENDING","","",""
"528","474078733.wem","VOICE","","","PENDING","","",""
"529","145243625.wem","VOICE","","","PENDING","","",""
