"FromIndex","FromType","FromID","FieldName","FieldType","ToID"
"109","HircChunk","","uFileID","tid","874935267"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","536154943"
"109","HircChunk","","uFileID","tid","536154943"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","458958901"
"109","HircChunk","","uFileID","tid","458958901"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","20696694"
"109","HircChunk","","uFileID","tid","20696694"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","461795631"
"109","HircChunk","","uFileID","tid","461795631"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","731848657"
"109","HircChunk","","uFileID","tid","731848657"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","920202335"
"109","HircChunk","","uFileID","tid","920202335"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","334746582"
"109","HircChunk","","uFileID","tid","334746582"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","655167511"
"109","HircChunk","","uFileID","tid","655167511"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","591196620"
"109","HircChunk","","uFileID","tid","591196620"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","sourceID","tid","795110502"
"109","HircChunk","","uFileID","tid","795110502"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","628409202"
"109","HircChunk","","OverrideBusId","tid","1158987668"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","95758901"
"109","HircChunk","","ulChildID","tid","197630926"
"109","HircChunk","","ulChildID","tid","312914597"
"109","HircChunk","","ulChildID","tid","345183286"
"109","HircChunk","","ulChildID","tid","375562660"
"109","HircChunk","","ulChildID","tid","414892240"
"109","HircChunk","","ulChildID","tid","419093624"
"109","HircChunk","","ulChildID","tid","455447582"
"109","HircChunk","","ulChildID","tid","473532462"
"109","HircChunk","","ulChildID","tid","516266276"
"109","HircChunk","","ulChildID","tid","578589341"
"109","HircChunk","","ulChildID","tid","599798216"
"109","HircChunk","","ulChildID","tid","656534323"
"109","HircChunk","","ulChildID","tid","684624635"
"109","HircChunk","","ulChildID","tid","714851924"
"109","HircChunk","","ulChildID","tid","806961882"
"109","HircChunk","","ulChildID","tid","826777738"
"109","HircChunk","","ulChildID","tid","857964692"
"109","HircChunk","","ulChildID","tid","966148903"
"109","HircChunk","","ulChildID","tid","1016798692"
"109","HircChunk","","ulChildID","tid","1026165725"
"109","HircChunk","","ulChildID","tid","1054576909"
"109","HircChunk","","sourceID","tid","468166270"
"109","HircChunk","","uFileID","tid","468166270"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","688187851"
"109","HircChunk","","OverrideBusId","tid","2891806020"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","741971888"
"109","HircChunk","","sourceID","tid","659204516"
"109","HircChunk","","uFileID","tid","659204516"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","706545110"
"109","HircChunk","","uFileID","tid","706545110"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","933920771"
"109","HircChunk","","uFileID","tid","933920771"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","262650098"
"109","HircChunk","","uFileID","tid","262650098"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","963567431"
"109","HircChunk","","uFileID","tid","963567431"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","516151388"
"109","HircChunk","","uFileID","tid","516151388"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","531151495"
"109","HircChunk","","uFileID","tid","531151495"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","158413004"
"109","HircChunk","","uFileID","tid","158413004"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","820152014"
"109","HircChunk","","uFileID","tid","820152014"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","639975831"
"109","HircChunk","","uFileID","tid","639975831"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","187117794"
"109","HircChunk","","uFileID","tid","187117794"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","843034458"
"109","HircChunk","","uFileID","tid","843034458"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","175393690"
"109","HircChunk","","uFileID","tid","175393690"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","214125137"
"109","HircChunk","","uFileID","tid","214125137"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","567927241"
"109","HircChunk","","uFileID","tid","567927241"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","581710097"
"109","HircChunk","","uFileID","tid","581710097"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","1059961648"
"109","HircChunk","","uFileID","tid","1059961648"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","984367350"
"109","HircChunk","","uFileID","tid","984367350"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","335569914"
"109","HircChunk","","uFileID","tid","335569914"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","400137489"
"109","HircChunk","","uFileID","tid","400137489"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","226617786"
"109","HircChunk","","uFileID","tid","226617786"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","54151231"
"109","HircChunk","","uFileID","tid","54151231"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","677559673"
"109","HircChunk","","uFileID","tid","677559673"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","307942064"
"109","HircChunk","","uFileID","tid","307942064"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","372538656"
"109","HircChunk","","uFileID","tid","372538656"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","784706505"
"109","HircChunk","","uFileID","tid","784706505"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","248157971"
"109","HircChunk","","uFileID","tid","248157971"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","486401047"
"109","HircChunk","","uFileID","tid","486401047"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","176314973"
"109","HircChunk","","uFileID","tid","176314973"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","120369165"
"109","HircChunk","","uFileID","tid","120369165"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","490282974"
"109","HircChunk","","uFileID","tid","490282974"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","742914976"
"109","HircChunk","","uFileID","tid","742914976"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","438170191"
"109","HircChunk","","uFileID","tid","438170191"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","561015116"
"109","HircChunk","","uFileID","tid","561015116"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","815062021"
"109","HircChunk","","uFileID","tid","815062021"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","452233968"
"109","HircChunk","","uFileID","tid","452233968"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","689795723"
"109","HircChunk","","sourceID","tid","929730082"
"109","HircChunk","","uFileID","tid","929730082"
