"SourceID","UFileID","WEMFound","WEMFile","RelativePath","SizeBytes","StreamType","IsLanguageSpecific","HasSource","ExternallySupplied","ParentObject"
"1013214237","1013214237","True","1013214237.wem","th4_000_common_vo\english(us)\1013214237.wem","18291","1","","","","AkBankSourceData"
"1013619871","1013619871","True","1013619871.wem","th4_000_common_vo\english(us)\1013619871.wem","16536","1","","","","AkBankSourceData"
"1015064643","1015064643","True","1015064643.wem","th4_000_common_vo\english(us)\1015064643.wem","12462","1","","","","AkBankSourceData"
"1015723236","1015723236","True","1015723236.wem","th4_000_common_vo\english(us)\1015723236.wem","32678","1","","","","AkBankSourceData"
"1016042812","1016042812","True","1016042812.wem","th4_000_common_vo\english(us)\1016042812.wem","43081","1","","","","AkBankSourceData"
"1016239674","1016239674","True","1016239674.wem","th4_000_common_vo\english(us)\1016239674.wem","19999","1","","","","AkBankSourceData"
"1016515822","1016515822","True","1016515822.wem","th4_000_common_vo\english(us)\1016515822.wem","31158","1","","","","AkBankSourceData"
"1017305820","1017305820","True","1017305820.wem","th4_000_common_vo\english(us)\1017305820.wem","8635","1","","","","AkBankSourceData"
"1018412350","1018412350","True","1018412350.wem","th4_000_common_vo\english(us)\1018412350.wem","48672","1","","","","AkBankSourceData"
"1018531196","1018531196","True","1018531196.wem","th4_000_common_vo\english(us)\1018531196.wem","8760","1","","","","AkBankSourceData"
"1018719994","1018719994","True","1018719994.wem","th4_000_common_vo\english(us)\1018719994.wem","12531","1","","","","AkBankSourceData"
"1019119805","1019119805","True","1019119805.wem","th4_000_common_vo\english(us)\1019119805.wem","32847","1","","","","AkBankSourceData"
"1019216425","1019216425","True","1019216425.wem","th4_000_common_vo\english(us)\1019216425.wem","41807","1","","","","AkBankSourceData"
"1019241950","1019241950","True","1019241950.wem","th4_000_common_vo\english(us)\1019241950.wem","35683","1","","","","AkBankSourceData"
"1019777163","1019777163","True","1019777163.wem","th4_000_common_vo\english(us)\1019777163.wem","17559","1","","","","AkBankSourceData"
"1022616284","1022616284","True","1022616284.wem","th4_000_common_vo\english(us)\1022616284.wem","56949","1","","","","AkBankSourceData"
"1024311381","1024311381","True","1024311381.wem","th4_000_common_vo\english(us)\1024311381.wem","24808","1","","","","AkBankSourceData"
"1024605331","1024605331","True","1024605331.wem","th4_000_common_vo\english(us)\1024605331.wem","88331","1","","","","AkBankSourceData"
"1026098211","1026098211","True","1026098211.wem","th4_000_common_vo\english(us)\1026098211.wem","29246","1","","","","AkBankSourceData"
"1027092084","1027092084","True","1027092084.wem","th4_000_common_vo\english(us)\1027092084.wem","25867","1","","","","AkBankSourceData"
"1028485157","1028485157","True","1028485157.wem","th4_000_common_vo\english(us)\1028485157.wem","15054","1","","","","AkBankSourceData"
"1030164003","1030164003","True","1030164003.wem","th4_000_common_vo\english(us)\1030164003.wem","43999","1","","","","AkBankSourceData"
"1031659901","1031659901","True","1031659901.wem","th4_000_common_vo\english(us)\1031659901.wem","17400","1","","","","AkBankSourceData"
"1032112512","1032112512","True","1032112512.wem","th4_000_common_vo\english(us)\1032112512.wem","122199","1","","","","AkBankSourceData"
"1032521899","1032521899","True","1032521899.wem","th4_000_common_vo\english(us)\1032521899.wem","44406","1","","","","AkBankSourceData"
"1035824601","1035824601","True","1035824601.wem","th4_000_common_vo\english(us)\1035824601.wem","37406","1","","","","AkBankSourceData"
"1037817702","1037817702","True","1037817702.wem","th4_000_common_vo\english(us)\1037817702.wem","10939","1","","","","AkBankSourceData"
"1037913307","1037913307","True","1037913307.wem","th4_000_common_vo\english(us)\1037913307.wem","61924","1","","","","AkBankSourceData"
"1039444031","1039444031","True","1039444031.wem","th4_000_common_vo\english(us)\1039444031.wem","18322","1","","","","AkBankSourceData"
"1040216574","1040216574","True","1040216574.wem","th4_000_common_vo\english(us)\1040216574.wem","47721","1","","","","AkBankSourceData"
"1040911784","1040911784","True","1040911784.wem","th4_000_common_vo\english(us)\1040911784.wem","84055","2","","","","AkBankSourceData"
"1042118390","1042118390","True","1042118390.wem","th4_000_common_vo\english(us)\1042118390.wem","24536","1","","","","AkBankSourceData"
"1042630073","1042630073","True","1042630073.wem","th4_000_common_vo\english(us)\1042630073.wem","11912","1","","","","AkBankSourceData"
"1046561200","1046561200","True","1046561200.wem","th4_000_common_vo\english(us)\1046561200.wem","16461","1","","","","AkBankSourceData"
"1046566922","1046566922","True","1046566922.wem","th4_000_common_vo\english(us)\1046566922.wem","9728","1","","","","AkBankSourceData"
"1048949208","1048949208","True","1048949208.wem","th4_000_common_vo\english(us)\1048949208.wem","10265","1","","","","AkBankSourceData"
"1050074967","1050074967","True","1050074967.wem","th4_000_common_vo\english(us)\1050074967.wem","24460","1","","","","AkBankSourceData"
"1050251054","1050251054","True","1050251054.wem","th4_000_common_vo\english(us)\1050251054.wem","50543","1","","","","AkBankSourceData"
"1050544152","1050544152","True","1050544152.wem","th4_000_common_vo\english(us)\1050544152.wem","22595","1","","","","AkBankSourceData"
"1051914724","1051914724","True","1051914724.wem","th4_000_common_vo\english(us)\1051914724.wem","32935","1","","","","AkBankSourceData"
"1052655305","1052655305","True","1052655305.wem","th4_000_common_vo\english(us)\1052655305.wem","52924","1","","","","AkBankSourceData"
"1052971964","1052971964","True","1052971964.wem","th4_000_common_vo\english(us)\1052971964.wem","22501","1","","","","AkBankSourceData"
"1054119434","1054119434","True","1054119434.wem","th4_000_common_vo\english(us)\1054119434.wem","7348","1","","","","AkBankSourceData"
"1056241236","1056241236","True","1056241236.wem","th4_000_common_vo\english(us)\1056241236.wem","41552","1","","","","AkBankSourceData"
"1058158586","1058158586","True","1058158586.wem","th4_000_common_vo\english(us)\1058158586.wem","16882","1","","","","AkBankSourceData"
"1059620240","1059620240","True","1059620240.wem","th4_000_common_vo\english(us)\1059620240.wem","7200","1","","","","AkBankSourceData"
"1059961648","1059961648","True","1059961648.wem","th4_000_common_vo\english(us)\1059961648.wem","28459","1","","","","AkBankSourceData"
"1063061087","1063061087","True","1063061087.wem","th4_000_common_vo\english(us)\1063061087.wem","9906","1","","","","AkBankSourceData"
"1063776406","1063776406","True","1063776406.wem","th4_000_common_vo\english(us)\1063776406.wem","14887","2","","","","AkBankSourceData"
"1064404150","1064404150","True","1064404150.wem","th4_000_common_vo\english(us)\1064404150.wem","20962","1","","","","AkBankSourceData"
"1065946615","1065946615","True","1065946615.wem","th4_000_common_vo\english(us)\1065946615.wem","36629","1","","","","AkBankSourceData"
"1067575506","1067575506","True","1067575506.wem","th4_000_common_vo\english(us)\1067575506.wem","60557","1","","","","AkBankSourceData"
"1068184009","1068184009","True","1068184009.wem","th4_000_common_vo\english(us)\1068184009.wem","19857","1","","","","AkBankSourceData"
"1068329219","1068329219","True","1068329219.wem","th4_000_common_vo\english(us)\1068329219.wem","13919","1","","","","AkBankSourceData"
"1069557766","1069557766","True","1069557766.wem","th4_000_common_vo\english(us)\1069557766.wem","17945","1","","","","AkBankSourceData"
"1069707836","1069707836","True","1069707836.wem","th4_000_common_vo\english(us)\1069707836.wem","51253","1","","","","AkBankSourceData"
"1071813657","1071813657","True","1071813657.wem","th4_000_common_vo\english(us)\1071813657.wem","21568","1","","","","AkBankSourceData"
